id,unique_id,nickname,signature,verified,num_following,num_followers,num_videos,num_likes,createtime,scraping_status
7314382345419129862,.edukasikesehatan,MADU.ASLI,"",false,1,22700,1722,216500,2023-12-19T18:59:09.000000+0000,Public
"",01almarhum,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
"",11atcharawadee,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
6886298783240848385,121gia,Dr gia,"",false,6087,5897,913,14600,2020-10-22T04:36:18.000000+0000,Public
"",12345dokter,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
"",176615194,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
"",2929wiajajajakakakhhhh,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
"",53pt14n7,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
7478015626134537223,_officialdokterkamilia_,oficial akun  dokter kamelia,"",false,2453,967,1,12,2025-03-04T17:59:51.000000+0000,Public
"",aayush.shrestha36,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
6771721726502929414,abdullah_yw,عبدالله العلاوي,أعيش ببطء 🧠 | للأعمال: 0506788878 | رابط البايو 👇🏻,true,193,3100000,1735,49900000,2019-12-18T10:18:48.000000+0000,Public
7384170585926484993,abghayperr,berkah kulit🤟,di pandang sebelah mata🥰,false,2121,1094,5,20,2024-06-24T20:33:10.000000+0000,Public
7274645544453981190,aboveboardskincare,ABOVEBOARD SKINCARE,BPOM & HALAL CERTIFIED. Honest skincare without overclaim & fear-mongering.,false,1,263000,35,662500,2023-09-03T17:00:04.000000+0000,Public
6875306216190510081,aceudokterhewan,aceu dokter hewan,dokter hewan,false,1995,526,86,16900,2020-09-22T13:39:31.000000+0000,Public
7098948585736029186,adadoktergigi,Klinik Gigi Ada Dokter Gigi,IG : @adadoktergigi @gracety.shabrina Edukasi&layanan perawatan gigi Ditangani oleh dokter gigi berizin 📍Kota Bandung 📲 RSVP WA resmi di bawah,false,232,25800,782,534700,2022-05-18T05:46:08.000000+0000,Public
6731991651071575042,adadokterhewan,Wingke Pets Corner,Vet,false,459,648,65,850,2019-09-02T08:45:49.000000+0000,Public
"",ade_rai,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
6784718409063515138,adengrhni,adeee,"if anything, DM ✨",false,135,13100,878,184300,2020-01-22T10:52:34.000000+0000,Public
6839023630983414786,adityaspratamaa,dr. Aditya,"",true,989,1200000,1129,28100000,2020-06-16T19:04:33.000000+0000,Public
"",adrianrustam,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
"",afrin.azad6,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
7000241944392664091,agenprodukkesehatan97,Agen Produk Kesehatan,Order Dr Laser Good After Sales Servis 081325951892,false,512,1374,206,2898,2021-08-25T05:53:57.000000+0000,Public
"",ahhhoke,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
"",ahlipewangikorea,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
"",airlangga_ezka,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
7027357767757808642,aisyahbeautyclinic,aisyahbeautyclinic,"KONSULTASI (09.00-17.00) Treatment for Women Only Jl. Sudirman, Dumai. Riau",false,23,368,241,983,2021-11-06T07:37:12.000000+0000,Public
7233291190609839130,akademikesehatanmental,Akademi Kesehatan Mental,Mental Health Research & Education. 📲Apply Private Counseling & Collab : +6285 786 289 466,false,2,7023,266,273600,2023-05-15T06:24:03.000000+0000,Public
7444851091102008375,akbar.miniatur5,cees kita,"",false,9516,2888,9,531,2024-12-05T09:04:31.000000+0000,Public
6878991731645334530,akbarwijayaa,AWPP,"",false,65,316,22,17600,2020-10-02T12:01:12.000000+0000,Public
"",aku.selalu.salah29,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
7382618165232256005,akugatengkaya,?:(,"",false,144,44,62,106,2024-06-20T16:08:59.000000+0000,Public
7090809258752787482,akunkeduadokterhewanreal,DOKTER HEWAN 99,toko obat resmi original  klik di di showcase atau keranjang kuning profil,false,547,1294,98,4891,2022-04-26T07:21:23.000000+0000,Public
6756707119401550849,akupintar.id,Aku Pintar,Bantu Temukan Potensi Terbaik Siswa dengan AkuPintar+  Lebih Terarah dan Siap Dampingi Kapanpun 🎓 👇🏻 Daftar dan Coba Semua Fiturnya! 👇🏻,false,6,232700,1664,6400000,2019-11-07T23:14:27.000000+0000,Public
"",al_legend_19,"","",false,0,0,0,0,"",Gagal ditarik / Kemungkinan Private Ketat
