username,video_id,video_url,is_photo,like_count,comment_count,share_count,save_count,description,scraped_at,manual_label,label_timestamp
drkevinmak,7592563740189428999,https://www.tiktok.com/@drkevinmak/video/7592563740189428999,False,18400,329,1950,6932,"Usia 25 tapi belum pernah minum astaxanthin? Bukan salah kamu—kebanyakan baru mikir antioksidan setelah badan mulai gampang capek, kulit kusam, mata sering lelah, dan recovery makin lama. Padahal di usia 25+ • stres mulai numpuk • tidur sering nggak utuh • screen time tinggi • inflamasi pelan-pelan naik Astaxanthin bukan buat “terlihat tua”, tapi buat nahan kerusakan sebelum keburu numpuk. Karena perawatan terbaik itu dimulai sebelum ada keluhan #Astaxanthin #Usia25 #Antioksidan #HealthyAging #glowfrominside",2026-09-06T11:17:05.564015,health,2026-09-07T12:56:51.554132
drkevinmak,7646364453918838034,https://www.tiktok.com/@drkevinmak/video/7646364453918838034,False,2466,58,465,667,"Usia 25 tahun tapi masih sering tidur mangap? Jangan dianggap sepele. Karena tidur mangap bisa menjadi salah satu tanda kualitas tidur yang kurang baik, dan pada sebagian orang juga ditemukan bersamaan dengan kadar vitamin D yang rendah. Sudah pernah cek vitamin D kamu belum? #vitamind #kurangvitamind #tidurmangap #sleephealth #kesehatan",2026-09-05T18:50:01.042691,health,2026-09-07T13:06:24.553745
drkevinmak,7627467585155517714,https://www.tiktok.com/@drkevinmak/video/7627467585155517714,False,129,12,15,20,"Capek + overthinking itu bukan cuma di pikiran… tapi bisa ganggu hormon & kesehatan wanita juga Mulai dari gampang lemes, mood swing, sampai masalah pencernaan Salah satu yang sering dilupain: jaga gut health Probiotik bisa bantu dari “dalam” Kamu lagi ngerasain juga? Cerita di komen ya 👇 #kesehatanwanita #overthinking #probiotik #guthealth #hormon",2026-09-05T19:45:58.922767,health,2026-09-07T13:12:08.865530
drkevinmak,7603002638791134471,https://www.tiktok.com/@drkevinmak/video/7603002638791134471,False,146,17,19,44,"Tahun 2026, tapi haid kamu masih telat-telat? Bukan karena kamu kurang usaha. Seringnya karena: • stres makin tinggi • tidur makin berantakan • jarang kena matahari • hormon pelan-pelan kacau Di kondisi ini, banyak perempuan kekurangan vitamin D3 & magnesium. Padahal dua ini bantu: • stabilin hormon • dukung ovulasi • bikin tubuh lebih tenang (haid nggak gampang telat karena stres) Kalau di 2026 kamu masih: – haid maju mundur – siklus nggak jelas – gampang capek & sensitif Mungkin yang perlu dibenerin bukan cuma jadwal… tapi nutrisi hormon dari dalam. #d3 #telathaid #haidberantakan",2026-09-06T10:42:40.971212,health,2026-09-07T12:44:52.323628
drkevinmak,7600727329047956754,https://www.tiktok.com/@drkevinmak/video/7600727329047956754,False,1550,105,93,421,Replying to @momo kalau kamu udah rutin makan makanan ini buat keputihan belom? #keputihan #rekomendasiprobiotik #viralditiktok🔥 #obatkeputihan #makanan,2026-09-06T10:49:44.207326,health,2026-09-07T13:09:01.793269
drkevinmak,7592965634078641416,https://www.tiktok.com/@drkevinmak/video/7592965634078641416,False,181,12,17,76,"Habis liburan, celana jadi sempit. Makan enak ✔️ Jam tidur berantakan ✔️ Perut sering begah ✔️ Berat badan naik bukan selalu karena lemak, seringnya karena pencernaan dan metabolisme lagi kacau. Kurang tidur + makan nggak teratur = bakteri baik usus ikut terganggu. Di kondisi ini, probiotik bantu: • menyeimbangkan bakteri usus • bantu pencernaan lebih lancar • ngurangin begah & kembung • bantu metabolisme balik ke ritme normal Kalau habis liburan kamu ngerasa: – berat badan naik – perut nggak enak – tidur nggak nyenyak Mulai rapihin dari dalam dulu. Kadang yang dibutuhin bukan diet ekstrem, tapi usus yang sehat. #HabisLiburan#beratbadannaik#probioticsUsusSehat #PencernaanSehat",2026-09-06T11:16:07.080486,health,2026-09-07T12:31:19.639496
drkevinmak,7593991559406816530,https://www.tiktok.com/@drkevinmak/video/7593991559406816530,False,21300,126,1284,6071,"Replying to @saadah Jerawat di dagu itu seringnya bukan soal skincare.” Kalau jerawat munculnya di dagu, rahang, atau sekitar mulut, apalagi makin parah menjelang haid… Seringnya masalahnya dari DALAM. 👉 hormon 👉 pencernaan 👉 gut yang lagi nggak seimbang Usus nggak sehat = inflamasi naik = jerawat gampang muncul. Makanya selain skincare, support dari dalam itu penting. Salah satunya: probiotik untuk bantu keseimbangan usus & hormon ✨ Jerawat bandel di dagu? Jangan cuma ditimpa skincare #jerawat #jerawathormon #jerawatbatu #probiotik",2026-09-06T11:13:23.074398,health,2026-09-07T12:54:17.204978
drkevinmak,7667223576428186898,https://www.tiktok.com/@drkevinmak/video/7667223576428186898,False,1254,15,145,415,"Please jangan abaikan gejala2 ini ya! Buanyak banget yang ujung2 nya kecolongan, kalau kamu paling sering ngalamin yang mana? #kortisol #detox #suplemen #edukasi #viralditiktok🔥",2026-09-05T17:36:21.216348,health,2026-09-07T13:13:38.792207
drkevinmak,7623424313151999239,https://www.tiktok.com/@drkevinmak/video/7623424313151999239,False,76,3,7,13,Kalau kamu masih breakout parah ga beres lebaran? Jangan lupa zinc nya 1x sehari setelah makan siang dan hindari konsumsi makanan berminyak ya ✅ #acneprone #jerawat #zinc #rekomendasizinc,2026-09-05T19:58:08.300649,health,2026-09-07T12:27:11.404444
drkevinmak,7620114400501976328,https://www.tiktok.com/@drkevinmak/video/7620114400501976328,False,1110,35,169,433,"Replying to @seojoonn_8 Umur 18 masih bisa nambah tinggi ga? Ini pertanyaan yang sering banget muncul 👀 Faktanya, di usia ini peluang masih ada—tapi ga selamanya. Karena pertumbuhan tinggi badan itu ada “window”-nya. Selain faktor genetik, tubuh juga butuh support nutrisi yang cukup, termasuk vitamin D3 + K2 untuk bantu penyerapan kalsium dan kesehatan tulang. Jadi jangan nunggu “telat” baru mulai jaga 🙌 👉 save ini kalau lo lagi concern soal tinggi badan atau share ke temen lo yang lagi fase growth ⸻ #tinggibadan #vitamind3k2 #pertumbuhan #kesehatantulang #suplementinggibadan",2026-09-05T20:05:08.645962,health,2026-09-07T13:01:23.319507
