username,video_id,video_url,is_photo,like_count,comment_count,share_count,save_count,description,scraped_at
aliphildan,7678200418438008084,https://www.tiktok.com/@aliphildan/video/7678200418438008084,False,79.9K,316,2709,1669,Lantam kalii kau stepeen😭 @stevengunardilasut @Nigerian Woman @Acid 🔮 @Bang ucup @abang3adek,2026-09-02T10:16:55.168688
aliphildan,7677802473821588757,https://www.tiktok.com/@aliphildan/video/7677802473821588757,False,981,27,68,63,Nah ada lagi nih gebrakannya wardah! Cleanser Lightplus B5 Sensitif nya bantu tenangin kulit sensitif kamu. Eits tapi cek juga ya kira2 memang sensitif atau sensitized nih?#Lightplusbywardah #LightplusB5SensitiveFaceWash #FaceWash #lightplusb5fwreview,2026-09-02T10:17:43.773014
aliphildan,7677470306906623253,https://www.tiktok.com/@aliphildan/video/7677470306906623253,False,62.2K,259,599,1535,Pertemanan ini banyak bgt nangisnya😭👊🏻 good luck on ur new chapter! @Wildan Wijaksono cc @Lulu 🤎 @Bang ucup @ridho maulana @fadildcky 🤏 @Acid 🔮 @thisisoraiii @Kang Rizz Kan,2026-09-02T10:18:38.777623
aliphildan,7677436344884333845,https://www.tiktok.com/@aliphildan/video/7677436344884333845,False,4866,47,106,113,Mau kemana kitaa?✨ @Bang ucup @Lulu 🤎 @Acid 🔮 @fadildcky 🤏 @Wildan Wijaksono @ridho maulana,2026-09-02T10:19:34.641365
aliphildan,7676806814570204434,https://www.tiktok.com/@aliphildan/video/7676806814570204434,False,6653,186,59,107,Replying to @- bedug beduugg✨,2026-09-02T10:20:20.840562
aliphildan,7675980613203135764,https://www.tiktok.com/@aliphildan/video/7675980613203135764,False,93.1K,479,2405,1419,Aku ga ikutan lagi yaach☺️✨ cc @Ganta 🐮 @Bang ucup @Acid 🔮 @Lulu 🤎 @Piscesboyy @drh. Ricky Halim dan Sashi @Park Ae-ri | Radims @abang3adek @FATTIHA✨ @Wildan Wijaksono,2026-09-02T10:21:16.544535
aliphildan,7675730369848560917,https://www.tiktok.com/@aliphildan/video/7675730369848560917,False,4131,203,186,55,Satu2nya lomba yg bisa aku ikutin✨😛 #fakesituation⚠,2026-09-02T10:22:16.885236
aliphildan,7675697444163816725,https://www.tiktok.com/@aliphildan/video/7675697444163816725,False,6205,53,50,74,Aku bagian dokumentasi yaach✨,2026-09-02T10:23:02.429261
aliphildan,7675582550017887495,https://www.tiktok.com/@aliphildan/video/7675582550017887495,False,67.1K,734,5944,786,Aku salah apa yaa kack?🥹✨ @Lulu 🤎 @drh. Ricky Halim dan Sashi #fakesituation⚠,2026-09-02T10:23:53.378268
aliphildan,7675205323426221332,https://www.tiktok.com/@aliphildan/video/7675205323426221332,False,7144,72,45,90,Barang antik nih berkelas✨🤙🏻,2026-09-02T10:25:26.479816
aliphildan,7674965027702689045,https://www.tiktok.com/@aliphildan/video/7674965027702689045,False,83K,181,2075,1675,Pada ikutan lomba apa gaisss hari ini?✨🇮🇩,2026-09-02T10:26:05.447757
aliphildan,7674836724253461767,https://www.tiktok.com/@aliphildan/video/7674836724253461767,False,26.8K,447,319,270,"Aku infus whitening yaa, jan salah paham✨😊",2026-09-02T10:27:08.501457
aliphildan,7673844128022678802,https://www.tiktok.com/@aliphildan/video/7673844128022678802,False,4276,130,111,78,Gini kaann?✨,2026-09-02T10:28:49.065510
aliphildan,7673455697190751509,https://www.tiktok.com/@aliphildan/video/7673455697190751509,False,286.1K,4580,117.5K,14.1K,Itu konsep ambulansnya disko gitu begimanaa😭 #jff #fakesituation⚠️ *semua atribut di konten ini hanya properti semata,2026-09-02T10:29:39.332240
